,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, FACE VALUE
0,20MICRONS.NS,20 Microns Limited,EQ,06-OCT-2008,5
1,21STCENMGM.NS,21st Century Management Services Limited,BE,03-MAY-1995,10
2,360ONE.NS,360 ONE WAM LIMITED,EQ,19-SEP-2019,1
3,3IINFOLTD.NS,3i Infotech Limited,EQ,22-OCT-2021,10
4,3MINDIA.NS,3M India Limited,EQ,13-AUG-2004,10
5,3PLAND.NS,3P Land Holdings Limited,BE,19-JUL-1995,2
6,5PAISA.NS,5Paisa Capital Limited,EQ,16-NOV-2017,10
7,63MOONS.NS,63 moons technologies limited,BE,20-JUN-2005,2
8,A2ZINFRA.NS,A2Z Infra Engineering Limited,BE,23-DEC-2010,10
9,AAATECH.NS,AAA Technologies Limited,BE,28-NOV-2022,10
10,AAKASH.NS,Aakash Exploration Services Limited,BE,29-SEP-2020,1
11,AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,BE,06-AUG-2021,10
12,AARON.NS,Aaron Industries Limited,EQ,06-NOV-2020,10
13,AARTECH.NS,Aartech Solonics Limited,EQ,10-JUL-2023,10
14,AARTIDRUGS.NS,Aarti Drugs Limited,EQ,19-SEP-2003,10
15,AARTIIND.NS,Aarti Industries Limited,EQ,08-FEB-1995,5
16,AARTIPHARM.NS,Aarti Pharmalabs Limited,EQ,30-JAN-2023,5
17,AARTISURF.NS,Aarti Surfactants Limited,EQ,14-JUL-2020,10
18,AARVEEDEN.NS,Aarvee Denims & Exports Limited,EQ,21-NOV-2006,10
19,AARVI.NS,Aarvi Encon Limited,EQ,24-JUN-2020,10
20,AAVAS.NS,Aavas Financiers Limited,EQ,08-OCT-2018,10
21,ABAN.NS,Aban Offshore Limited,BE,29-MAR-1995,2
22,ABB.NS,ABB India Limited,EQ,08-FEB-1995,2
23,ABBOTINDIA.NS,Abbott India Limited,EQ,08-JAN-2010,10
24,ABCAPITAL.NS,Aditya Birla Capital Limited,EQ,01-SEP-2017,10
25,ABFRL.NS,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10
26,ABMINTLLTD.NS,ABM International Limited,EQ,09-SEP-2021,10
27,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,5
28,ACC.NS,ACC Limited,EQ,20-NOV-1996,10
29,ACCELYA.NS,Accelya Solutions India Limited,EQ,01-DEC-1999,10
30,ACCURACY.NS,Accuracy Shipping Limited,BE,11-DEC-2020,1
31,ACE.NS,Action Construction Equipment Limited,EQ,26-SEP-2006,2
32,ACEINTEG.NS,Ace Integrated Solutions Limited,EQ,04-NOV-2022,10
33,ACI.NS,Archean Chemical Industries Limited,EQ,21-NOV-2022,2
34,ACL.NS,Andhra Cements Limited,EQ,10-MAY-2023,10
35,ACLGATI.NS,Allcargo Gati Limited,EQ,10-OCT-2006,2
36,ADANIENSOL.NS,Adani Energy Solutions Limited,EQ,31-JUL-2015,10
